model,beta,precision,recall,f1
XGBoost,0.25,0.9185174050721168,0.97,0.9435569728158583
SVM,0.7,0.8943552473020172,0.97,0.9306430103794714
RF,0.4,0.935,0.9491056024255327,0.9419999994962567
kNN,0.65,0.9158551061026973,0.9692269455964103,0.9417854743210738
